season,week,team_key,team_name,opp_key,opp_name,pts_for,pts_against
2005,2,124.l.494589.t.10,the stunods,124.l.494589.t.2,Grunting Grundles,89.0,76.0
2005,3,124.l.494589.t.9,99 Problems,124.l.494589.t.5,The Assbags,73.0,67.0
2005,3,124.l.494589.t.7,Desperados,124.l.494589.t.10,the stunods,43.0,110.0
2005,3,124.l.494589.t.3,Goat,124.l.494589.t.2,Grunting Grundles,127.0,81.0
2005,3,124.l.494589.t.2,Grunting Grundles,124.l.494589.t.3,Goat,81.0,127.0
2005,3,124.l.494589.t.1,Hags of Hagglestick,124.l.494589.t.4,The Connivers,103.0,70.0
2005,3,124.l.494589.t.6,Rancid Douche Cunts,124.l.494589.t.8,The Dartmaster,107.0,102.0
2005,3,124.l.494589.t.5,The Assbags,124.l.494589.t.9,99 Problems,67.0,73.0
2005,3,124.l.494589.t.4,The Connivers,124.l.494589.t.1,Hags of Hagglestick,70.0,103.0
2005,3,124.l.494589.t.8,The Dartmaster,124.l.494589.t.6,Rancid Douche Cunts,102.0,107.0
2005,3,124.l.494589.t.10,the stunods,124.l.494589.t.7,Desperados,110.0,43.0
2005,4,124.l.494589.t.9,99 Problems,124.l.494589.t.6,Rancid Douche Cunts,99.0,109.0
2005,4,124.l.494589.t.7,Desperados,124.l.494589.t.8,The Dartmaster,55.0,88.0
2005,4,124.l.494589.t.3,Goat,124.l.494589.t.10,the stunods,41.0,66.0
2005,4,124.l.494589.t.2,Grunting Grundles,124.l.494589.t.4,The Connivers,110.0,99.0
2005,4,124.l.494589.t.1,Hags of Hagglestick,124.l.494589.t.5,The Assbags,81.0,91.0
2005,4,124.l.494589.t.6,Rancid Douche Cunts,124.l.494589.t.9,99 Problems,109.0,99.0
2005,4,124.l.494589.t.5,The Assbags,124.l.494589.t.1,Hags of Hagglestick,91.0,81.0
2005,4,124.l.494589.t.4,The Connivers,124.l.494589.t.2,Grunting Grundles,99.0,110.0
2005,4,124.l.494589.t.8,The Dartmaster,124.l.494589.t.7,Desperados,88.0,55.0
2005,4,124.l.494589.t.10,the stunods,124.l.494589.t.3,Goat,66.0,41.0
2005,5,124.l.494589.t.9,99 Problems,124.l.494589.t.7,Desperados,48.0,60.0
2005,5,124.l.494589.t.7,Desperados,124.l.494589.t.9,99 Problems,60.0,48.0
2005,5,124.l.494589.t.3,Goat,124.l.494589.t.4,The Connivers,99.0,68.0
2005,5,124.l.494589.t.2,Grunting Grundles,124.l.494589.t.5,The Assbags,43.0,86.0
2005,5,124.l.494589.t.1,Hags of Hagglestick,124.l.494589.t.6,Rancid Douche Cunts,91.0,115.0
2005,5,124.l.494589.t.6,Rancid Douche Cunts,124.l.494589.t.1,Hags of Hagglestick,115.0,91.0
2005,5,124.l.494589.t.5,The Assbags,124.l.494589.t.2,Grunting Grundles,86.0,43.0
2005,5,124.l.494589.t.4,The Connivers,124.l.494589.t.3,Goat,68.0,99.0
2005,5,124.l.494589.t.8,The Dartmaster,124.l.494589.t.10,the stunods,80.0,66.0
2005,5,124.l.494589.t.10,the stunods,124.l.494589.t.8,The Dartmaster,66.0,80.0
2005,6,124.l.494589.t.9,99 Problems,124.l.494589.t.8,The Dartmaster,71.0,86.0
2005,6,124.l.494589.t.7,Desperados,124.l.494589.t.1,Hags of Hagglestick,85.0,99.0
2005,6,124.l.494589.t.3,Goat,124.l.494589.t.5,The Assbags,104.0,83.0
2005,6,124.l.494589.t.2,Grunting Grundles,124.l.494589.t.6,Rancid Douche Cunts,80.0,89.0
2005,6,124.l.494589.t.1,Hags of Hagglestick,124.l.494589.t.7,Desperados,99.0,85.0
2005,6,124.l.494589.t.6,Rancid Douche Cunts,124.l.494589.t.2,Grunting Grundles,89.0,80.0
2005,6,124.l.494589.t.5,The Assbags,124.l.494589.t.3,Goat,83.0,104.0
2005,6,124.l.494589.t.4,The Connivers,124.l.494589.t.10,the stunods,56.0,90.0
2005,6,124.l.494589.t.8,The Dartmaster,124.l.494589.t.9,99 Problems,86.0,71.0
2005,6,124.l.494589.t.10,the stunods,124.l.494589.t.4,The Connivers,90.0,56.0
2005,7,124.l.494589.t.9,99 Problems,124.l.494589.t.10,the stunods,78.0,73.0
2005,7,124.l.494589.t.7,Desperados,124.l.494589.t.2,Grunting Grundles,79.0,79.0
2005,7,124.l.494589.t.3,Goat,124.l.494589.t.6,Rancid Douche Cunts,73.0,75.0
2005,7,124.l.494589.t.2,Grunting Grundles,124.l.494589.t.7,Desperados,79.0,79.0
2005,7,124.l.494589.t.1,Hags of Hagglestick,124.l.494589.t.8,The Dartmaster,60.0,73.0
2005,7,124.l.494589.t.6,Rancid Douche Cunts,124.l.494589.t.3,Goat,75.0,73.0
2005,7,124.l.494589.t.5,The Assbags,124.l.494589.t.4,The Connivers,89.0,76.0
2005,7,124.l.494589.t.4,The Connivers,124.l.494589.t.5,The Assbags,76.0,89.0
2005,7,124.l.494589.t.8,The Dartmaster,124.l.494589.t.1,Hags of Hagglestick,73.0,60.0
2005,7,124.l.494589.t.10,the stunods,124.l.494589.t.9,99 Problems,73.0,78.0
2005,8,124.l.494589.t.9,99 Problems,124.l.494589.t.1,Hags of Hagglestick,94.0,88.0
2005,8,124.l.494589.t.7,Desperados,124.l.494589.t.3,Goat,80.0,66.0
2005,8,124.l.494589.t.3,Goat,124.l.494589.t.7,Desperados,66.0,80.0
2005,8,124.l.494589.t.2,Grunting Grundles,124.l.494589.t.8,The Dartmaster,93.0,57.0
2005,8,124.l.494589.t.1,Hags of Hagglestick,124.l.494589.t.9,99 Problems,88.0,94.0
2005,8,124.l.494589.t.6,Rancid Douche Cunts,124.l.494589.t.4,The Connivers,65.0,61.0
2005,8,124.l.494589.t.5,The Assbags,124.l.494589.t.10,the stunods,111.0,85.0
2005,8,124.l.494589.t.4,The Connivers,124.l.494589.t.6,Rancid Douche Cunts,61.0,65.0
2005,8,124.l.494589.t.8,The Dartmaster,124.l.494589.t.2,Grunting Grundles,57.0,93.0
2005,8,124.l.494589.t.10,the stunods,124.l.494589.t.5,The Assbags,85.0,111.0
2005,9,124.l.494589.t.9,99 Problems,124.l.494589.t.2,Grunting Grundles,72.0,62.0
2005,9,124.l.494589.t.7,Desperados,124.l.494589.t.4,The Connivers,100.0,48.0
2005,9,124.l.494589.t.3,Goat,124.l.494589.t.8,The Dartmaster,73.0,43.0
2005,9,124.l.494589.t.2,Grunting Grundles,124.l.494589.t.9,99 Problems,62.0,72.0
2005,9,124.l.494589.t.1,Hags of Hagglestick,124.l.494589.t.10,the stunods,76.0,107.0
2005,9,124.l.494589.t.6,Rancid Douche Cunts,124.l.494589.t.5,The Assbags,85.0,90.0
2005,9,124.l.494589.t.5,The Assbags,124.l.494589.t.6,Rancid Douche Cunts,90.0,85.0
2005,9,124.l.494589.t.4,The Connivers,124.l.494589.t.7,Desperados,48.0,100.0
2005,9,124.l.494589.t.8,The Dartmaster,124.l.494589.t.3,Goat,43.0,73.0
2005,9,124.l.494589.t.10,the stunods,124.l.494589.t.1,Hags of Hagglestick,107.0,76.0
2005,10,124.l.494589.t.9,99 Problems,124.l.494589.t.3,Goat,66.0,60.0
2005,10,124.l.494589.t.7,Desperados,124.l.494589.t.5,The Assbags,71.0,90.0
2005,10,124.l.494589.t.3,Goat,124.l.494589.t.9,99 Problems,60.0,66.0
2005,10,124.l.494589.t.2,Grunting Grundles,124.l.494589.t.1,Hags of Hagglestick,72.0,74.0
2005,10,124.l.494589.t.1,Hags of Hagglestick,124.l.494589.t.2,Grunting Grundles,74.0,72.0
2005,10,124.l.494589.t.6,Rancid Douche Cunts,124.l.494589.t.10,the stunods,56.0,112.0
2005,10,124.l.494589.t.5,The Assbags,124.l.494589.t.7,Desperados,90.0,71.0
2005,10,124.l.494589.t.4,The Connivers,124.l.494589.t.8,The Dartmaster,44.0,44.0
2005,10,124.l.494589.t.8,The Dartmaster,124.l.494589.t.4,The Connivers,44.0,44.0
2005,10,124.l.494589.t.10,the stunods,124.l.494589.t.6,Rancid Douche Cunts,112.0,56.0
2005,11,124.l.494589.t.9,99 Problems,124.l.494589.t.4,The Connivers,70.0,95.0
2005,11,124.l.494589.t.7,Desperados,124.l.494589.t.6,Rancid Douche Cunts,68.0,73.0
2005,11,124.l.494589.t.3,Goat,124.l.494589.t.1,Hags of Hagglestick,114.0,95.0
2005,11,124.l.494589.t.2,Grunting Grundles,124.l.494589.t.10,the stunods,94.0,93.0
2005,11,124.l.494589.t.1,Hags of Hagglestick,124.l.494589.t.3,Goat,95.0,114.0
